OrigProj,Amount,projecttitle,Forum,Sponsor,AwardYear,Color,subforum,Improvement Type,ProjNo
FIR-30,748217,Regents Blvd. Rehab./Grind & Overlay - Alameda Ave to Orchard St.,FHWA Countywide,Fircrest,2012,STP(U),Pierce Countywide Forum,"Preservation, Maintenance & Operations",FIR-30
FW-10,24699,Pacific Highway South HOV Lanes Phase III (Dash Point Road to S. 284th St.),FHWA Countywide,Federal Way,2005,STP(N),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,FW-10
FW-10,33352,Pacific Highway South HOV Lanes Phase III (Dash Point Road to S. 284th St.),FHWA Countywide,Federal Way,2002,STP(N),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,FW-10
FW-10,176708,Pacific Highway South HOV Lanes Phase III (Dash Point Road to S. 284th St.),FHWA RPEC,Federal Way,2005,CMAQ,RPEC,General Purpose & High Occupancy Vehicle Capacity,FW-10
FW-10,409980,Pacific Highway South HOV Lanes Phase III (Dash Point Road to S. 284th St.),FHWA Countywide,Federal Way,2002,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,FW-10
FW-10,615691,Pacific Highway South HOV Lanes Phase III (Dash Point Road to S. 284th St.),FHWA Countywide,Federal Way,2003,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,FW-10
FW-10,778655,Pacific Highway South HOV Lanes Phase III (Dash Point Road to S. 284th St.),FHWA Countywide,Federal Way,2004,CMAQ,King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,FW-10
FW-10,970874,Pacific Highway South HOV Lanes Phase III (Dash Point Road to S. 284th St.),FHWA Countywide,Federal Way,2005,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,FW-10
FW-10,2493153,Pacific Highway South HOV Lanes Phase III (Dash Point Road to S. 284th St.),FHWA Countywide,Federal Way,2006,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,FW-10
FW-10,3360270,Pacific Highway South HOV Lanes Phase III (Dash Point Road to S. 284th St.),FHWA RPEC,Federal Way,2004,CMAQ,RPEC,General Purpose & High Occupancy Vehicle Capacity,FW-10
FW-11,440584,Pacific Highway South HOV Lanes Phase IV (Dash Point Road to South 312th Street),FHWA Countywide,Federal Way,2005,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,FW-11
FW-11,2000000,Pacific Highway South HOV Lanes Phase IV (Dash Point Road to South 312th Street),FHWA RPEC,Federal Way,2006,STP(U),RPEC,General Purpose & High Occupancy Vehicle Capacity,FW-11
FW-11,4549266,Pacific Highway South HOV Lanes Phase IV (Dash Point Road to South 312th Street),FHWA RPEC,Federal Way,2008,STP(U),RPEC,General Purpose & High Occupancy Vehicle Capacity,FW-11
FW-12,3200000,I-5 South Bound Ramp @ S 320th Street,FHWA Countywide,Federal Way,2009,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,FW-12
FW-15,1100000,S 320th Street (11th Pl S to I-5 Limited Access) Preservation Project,FHWA Countywide,Federal Way,2012,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",FW-15
FW-19,7000000,Pacific Highway South HOV Lanes Phase V (S 340th Street to S 359th Street),FHWA RPEC,Federal Way,2014,CMAQ,RPEC,General Purpose & High Occupancy Vehicle Capacity,FW-19
FW-22,397350,21st Ave S (S 316th Street to S 320th Street) Pedestrian Improvements ,FHWA Countywide,Federal Way,2014,CMAQ,King Countywide Forum,Bicycle/Pedestrian,FW-22
FW-23,490000,S 288th Street (Military Road to I-5 Ovepass) Preservation Project ,FHWA Countywide,Federal Way,2014,STP(UL),King Countywide Forum,"Preservation, Maintenance & Operations",FW-23
FW-24,590000,S 324th Street (Pacific Hghway S to S 322nd Street) Preservation Project ,FHWA Countywide,Federal Way,2014,STP(UL),King Countywide Forum,"Preservation, Maintenance & Operations",FW-24
FW-3,177000,South 348th Street Improvement,FHWA Countywide,Federal Way,1993,CMAQ,King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,FW-3
FW-6,300000,BPA Trail Corridor Phase III,FHWA Countywide,Federal Way,1995,STP(U),King Countywide Forum,Bicycle/Pedestrian,FW-6
FW-6,629775,BPA Trail Corridor Phase III,FHWA RPEC,Federal Way,1999,STP(U),RPEC,Bicycle/Pedestrian,FW-6
FW-7,729433,Pacific Highway South High Occupancy Vehicle Lanes,FHWA Countywide,Federal Way,1999,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,FW-7
FW-7,1000000,Pacific Highway South High Occupancy Vehicle Lanes,FHWA RPEC,Federal Way,1999,STP(U),RPEC,General Purpose & High Occupancy Vehicle Capacity,FW-7
FW-8,490000,S. 320th Street at SR 99 Intersection Improvements,FHWA Countywide,Federal Way,1997,STP(U),King Countywide Forum,Safety & Efficiency,FW-8
FW-9,2850000,Pacific Highway South HOV lanes Phase 2,FHWA RPEC,Federal Way,2002,CMAQ,RPEC,General Purpose & High Occupancy Vehicle Capacity,FW-9
FW-9,2850000,Pacific Highway South HOV lanes Phase 2,FHWA RPEC,Federal Way,2002,STP(U),RPEC,General Purpose & High Occupancy Vehicle Capacity,FW-9
GF-1,25000,City of Granite Falls SEIS Bypass Study,FHWA Countywide,Granite Falls,1999,STP(R),Snohomish Countywide Forum,"Studies, TDM, Other",GF-1
GF-1A,200000,Granite Falls Alternate Route (GFAR),FHWA Countywide,Granite Falls,2002,STP(R),Snohomish Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,GF-1A
GIG-1,211600,North Harborview Drive Improvements,FHWA Countywide,Gig Harbor,1994,STP(U),Pierce Countywide Forum,"Preservation, Maintenance & Operations",GIG-1
GIG-1,776000,North Harborview Drive Improvements,FHWA Countywide,Gig Harbor,1993,STP(U),Pierce Countywide Forum,"Preservation, Maintenance & Operations",GIG-1
GIG-2,86100,Rosedale Street Improvements,FHWA Countywide,Gig Harbor,1993,STP(U),Pierce Countywide Forum,"Preservation, Maintenance & Operations",GIG-2
GIG-3,187000,Harborview Drive Overlay Project,FHWA Countywide,Gig Harbor,1993,STP(U),Pierce Countywide Forum,"Preservation, Maintenance & Operations",GIG-3
GIG-4,483200,Rosedale Street Improvements,FHWA Countywide,Gig Harbor,1995,STP(U),Pierce Countywide Forum,"Preservation, Maintenance & Operations",GIG-4
GIG-6,663000,Cushman Trail - Phases 3 (96th to Burnham) and 4 (Burnham to Borgen),FHWA Countywide,Gig Harbor,2012,CMAQ,Pierce Countywide Forum,Bicycle/Pedestrian,GIG-6
GIG-7,331000,Kimball Dr. and Hunt Street Overlay Project ,FHWA Countywide,Gig Harbor,2014,STP(UL),Pierce Countywide Forum,"Preservation, Maintenance & Operations",GIG-7
HP-1,9231,Townwide Pavement Maintenance,FHWA Countywide,Hunts Point,1999,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",HP-1
ISS-21,208995,229th Ave / E Lake Sammamish Parkway (Traffic Signal & HOV Bypass),FHWA Countywide,Issaquah,2004,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,ISS-21
ISS-23,192387,I-90 Trail:  Issaquah - High Point Regional Trail Connector ,FHWA Countywide,Issaquah,2005,STP(U),King Countywide Forum,Bicycle/Pedestrian,ISS-23
ISS-23,950000,I-90 Trail:  Issaquah - High Point Regional Trail Connector ,FHWA Countywide,Issaquah,2004,CMAQ,King Countywide Forum,Bicycle/Pedestrian,ISS-23
ISS-30,500000,SR 900 Pedestrian/Non Motorized Improvement,FHWA Countywide,Issaquah,2009,CMAQ,King Countywide Forum,Bicycle/Pedestrian,ISS-30
ISS-30,1000000,SR 900 Pedestrian/Non Motorized Improvement,FHWA Countywide,Issaquah,2006,CMAQ,King Countywide Forum,Bicycle/Pedestrian,ISS-30
ISS-35,2456161,E. Lake Sammamish Parkway SE ,FHWA Countywide,Issaquah,2014,STP(UL),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,ISS-35
ISS-5,167450,Citywide Pavement Maintenance Program,FHWA Countywide,Issaquah,1999,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",ISS-5
ISS-6,117324,NW Juniper Street Nonmotorized and Transit Access Project,FHWA Countywide,Issaquah,1995,STP(U),King Countywide Forum,Bicycle/Pedestrian,ISS-6
KCFD-2,500000,King County Ferry District - Vessel Acquisition Passenger Only Ferries,FHWA Countywide,King County Ferry District,2009,CMAQ,King Countywide Forum,Transit Capital & Expansion,KCFD-2
KCFD-5,600000,Seattle Central Waterfront Regional Passenger-Only Ferry Terminal,FTA Competitive,King County Ferry District,2012,5307(Urban),STE Competitive,Transit Capital & Expansion,KCFD-5
KCFD-5,766530,Seattle Central Waterfront Regional Passenger-Only Ferry Terminal,FTA Earned Share,King County Ferry District,2012,5309(FG),STE Noncompetitive,Transit Capital & Expansion,KCFD-5
KCFD-5,893961,Seattle Central Waterfront Regional Passenger-Only Ferry Terminal,FTA Earned Share,King County Ferry District,2014,5307(Urban),STE Noncompetitive,Transit Capital & Expansion,KCFD-5
KCFD-5,2353151,Seattle Central Waterfront Regional Passenger-Only Ferry Terminal,FTA Earned Share,King County Ferry District,2014,5337 HIFG,STE Noncompetitive,Transit Capital & Expansion,KCFD-5
KCFD-5,3000000,Seattle Central Waterfront Regional Passenger-Only Ferry Terminal,FTA Competitive,King County Ferry District,2014,5307(Urban),Seattle-Tacoma-Everett UZA,Transit Capital & Expansion,KCFD-5
KCFD-6,1600000,King County Ferry District Vessel Maintenance Project ,FTA Earned Share,King County Ferry District,2012,5309(FG),STE Noncompetitive,"Preservation, Maintenance & Operations",KCFD-6
KCFD-6 ,2400000,King County Ferry District Vessel Maintenance Project ,FTA Earned Share,King County Ferry District,2014,5307(Urban),STE Noncompetitive,"Preservation, Maintenance & Operations",KCFD-6
KCFD-7,222458,Vessel Acquisition,FTA Earned Share,King County Ferry District,2012,5307(Urban),STE Noncompetitive,Transit Capital & Expansion,KCFD-7
KCFD-7,366531,Vessel Acquisition,FTA Earned Share,King County Ferry District,2012,5309(FG),STE Noncompetitive,Transit Capital & Expansion,KCFD-7
KEN-12,112000,South 212th Street Pavement Reconstruction,FHWA Countywide,Kent,1993,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",KEN-12
KEN-13,129000,Citywide Pedestrian and Bicycle Facility Improvements,FHWA Countywide,Kent,1993,STP(U),King Countywide Forum,Bicycle/Pedestrian,KEN-13
KEN-15,107077,Pacific Highway South HOV Lanes - Phase I,FHWA Countywide,Kent,2002,STP(N),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,KEN-15
KEN-15,445497,Pacific Highway South HOV Lanes - Phase I,FHWA Countywide,Kent,2002,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,KEN-15
KEN-15,784116,Pacific Highway South HOV Lanes - Phase I,FHWA Countywide,Kent,1999,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,KEN-15
KEN-15,1250000,Pacific Highway South HOV Lanes - Phase I,FHWA RPEC,Kent,1995,STP(U),RPEC,General Purpose & High Occupancy Vehicle Capacity,KEN-15
KEN-17,305926,Washington Avenue HOV Lanes - Harrison St. to Green River Bridge,FHWA Countywide,Kent,1997,CMAQ,King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,KEN-17
KEN-18,82902,South 212th St. - Green River Bridge to West Valley Highway,FHWA Countywide,Kent,1997,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",KEN-18
KEN-20,375000,SR-99: Pacific Highway South HOV Lanes - South 252nd Street to South 272nd Street,FHWA Countywide,Kent,2005,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,KEN-20
KEN-20,674726,SR-99: Pacific Highway South HOV Lanes - South 252nd Street to South 272nd Street,FHWA RPEC,Kent,2004,CMAQ,RPEC,General Purpose & High Occupancy Vehicle Capacity,KEN-20
KEN-25,402225,Urban Centers Transit Development Project: Kent TOD Access Project,FHWA RPEC,Kent,2002,CMAQ,RPEC,Bicycle/Pedestrian,KEN-25
KEN-26,5000000,BNSF (Burlington Northern/Santa Fe) Railroad Grade Separation,FHWA RPEC,Kent,2006,STP(U),RPEC,General Purpose & High Occupancy Vehicle Capacity,KEN-26
KEN-26A,3000000,S 228th St Grade Separation,FHWA Countywide,Kent,2012,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,KEN-26A
KEN-28,874183,East Valley Highway Improvements - SR-167 to S. 212th Street,FHWA Countywide,Kent,2004,STP(U),King Countywide Forum,Bicycle/Pedestrian,KEN-28
KEN-28A,1000000,East Valley Highway Widening - SR 167 to S. 212th Street,FHWA Countywide,Kent,2006,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,KEN-28A
KEN-29,30121,Smith St Left Turn Lane at Lincoln Ave (part of King Co. Smart Growth Initiative project),FHWA RPEC,Kent,2005,STP(U),RPEC,Safety & Efficiency,KEN-29
KEN-29,629720,Smith St Left Turn Lane at Lincoln Ave (part of King Co. Smart Growth Initiative project),FHWA RPEC,Kent,2004,STP(U),RPEC,Safety & Efficiency,KEN-29
KEN-32,200000,Daniel Elementary School Safe Routes to School,FHWA Countywide,Kent,2009,CMAQ,King Countywide Forum,Bicycle/Pedestrian,KEN-32
KEN-33,150000,Horizon Elementary School Safe Routes to School,FHWA Countywide,Kent,2009,CMAQ,King Countywide Forum,Bicycle/Pedestrian,KEN-33
KEN-34,1125368,Kent Regional Trails Connector,FHWA Countywide,Kent,2012,CMAQ,King Countywide Forum,Bicycle/Pedestrian,KEN-34
KEN-35,300000,Central Avenue South Pavement Preservation,FHWA Countywide,Kent,2012,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",KEN-35
KEN-35,1500000,Central Avenue South Pavement Preservation,FHWA Countywide,Kent,2014,STP(UL),King Countywide Forum,"Preservation, Maintenance & Operations",KEN-35
KEN-40,2000000,S. 212th BNSF Railroad Grade Separation ,FHWA Countywide,Kent,2014,STP(UL),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,KEN-40
KEN-6,201000,East Valley Highway Pavement Reconstruction,FHWA Countywide,Kent,1993,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",KEN-6
KGCO-10,1320000,284th Avenue Southeast,FHWA Countywide,King County Department of Transportation (Road Services),1993,STP(R),King Countywide Forum,Safety & Efficiency,KGCO-10
KGCO-105,1500000,Acquisition of the Burlington Northern Santa Fe Right of Way - Woodinville Subdivision,FHWA Countywide,King County Parks Department,2006,STP(U),King Countywide Forum,Bicycle/Pedestrian,KGCO-105
KGCO-106,350000,CW Neal Bridge #294A,FHWA Countywide,King County Department of Transportation (Road Services),2006,STP(R),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-106
KGCO-107,350000,Rutherford Slough Bridge #920A,FHWA Countywide,King County Department of Transportation (Road Services),2006,STP(R),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-107
KGCO-108,150000,Hybrid Medium and Heavy Truck Acquisition,FHWA Countywide,King County Department of Transportation (Road Services),2006,CMAQ,King Countywide Forum,"Studies, TDM, Other",KGCO-108
KGCO-115,500000,S. Star Lake Road Pedestrian Pathway,FHWA Countywide,King County Department of Transportation (Road Services),2009,CMAQ,King Countywide Forum,Bicycle/Pedestrian,KGCO-115
KGCO-116,500000,West Snoqualmie Valley Rd Reconstruction,FHWA Countywide,King County Department of Transportation (Road Services),2009,STP(R),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-116
KGCO-116,1400000,West Snoqualmie Valley Rd Reconstruction,FHWA Countywide,King County Department of Transportation (Road Services),2014,STP(R),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-116
KGCO-117,800125,Lake to Sound Trail - Segment A,FHWA Countywide,King County Department of Transportation (Road Services),2009,CMAQ,King Countywide Forum,Bicycle/Pedestrian,KGCO-117
KGCO-117,950000,Lake to Sound Trail - Segment A,FHWA Countywide,King County Department of Transportation (Road Services),2014,CMAQ,King Countywide Forum,Bicycle/Pedestrian,KGCO-117
KGCO-117A,1000000,Lake to Sound Trail - Segment B,FHWA Countywide,King County Department of Transportation (Road Services),2012,CMAQ,King Countywide Forum,Bicycle/Pedestrian,KGCO-117A
KGCO-12,453800,Rural Seismic Retrofit,FHWA Countywide,King County Department of Transportation (Road Services),1994,STP(R),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-12
KGCO-12,532000,Rural Seismic Retrofit,FHWA Countywide,King County Department of Transportation (Road Services),1993,STP(R),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-12
KGCO-121A,750000,"East Lake Sammamish Trail, South Sammamish Segment A Construction ",FHWA Countywide,King County Parks Department,2014,CMAQ,King Countywide Forum,Bicycle/Pedestrian,KGCO-121A
KGCO-126,421443,NE 124th Street Overlay Project - from Kirkland to Redmond in Unincorporated King County,FHWA Countywide,King County Department of Transportation (Road Services),2012,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-126
KGCO-127,1266900,Woodinville Duvall ITS,FHWA Countywide,King County Department of Transportation (Road Services),2012,CMAQ,King Countywide Forum,Safety & Efficiency,KGCO-127
KGCO-128,518160,South 288th Street Overlay Project,FHWA Countywide,King County Department of Transportation (Road Services),2012,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-128
KGCO-129,315414,Issaquah Hobart Road Overlay Project,FHWA Countywide,King County Department of Transportation (Road Services),2012,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-129
KGCO-13,966000,Urban Seismic Retrofit,FHWA Countywide,King County Department of Transportation (Road Services),1993,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-13
KGCO-130,824586,SE May Valley Road Preservation Project,FHWA Countywide,King County Department of Transportation (Road Services),2012,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-130
KGCO-131,1390278,Woodinville Duvall & West Snoqualmie Valley Road Intersection Improvement Project,FHWA Countywide,King County Department of Transportation (Road Services),2012,STP(U),King Countywide Forum,Safety & Efficiency,KGCO-131
KGCO-14,180000,The Commuter Challenge Program,FHWA Countywide,King County Department of Transportation (Road Services),1993,CMAQ,King Countywide Forum,"Studies, TDM, Other",KGCO-14
KGCO-141,1170000,148th Ave SE Reconstruction-Phase II ,FHWA Countywide,King County Department of Transportation (Road Services),2014,STP(R),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-141
KGCO-142,432500,"Missing Links in White Center, Roxbury Street Sidewalks ",FHWA Countywide,King County Department of Transportation (Road Services),2014,CMAQ,King Countywide Forum,Bicycle/Pedestrian,KGCO-142
KGCO-143,1024852,Peasley Canyon Road/Way South Overlay ,FHWA Countywide,King County Department of Transportation (Road Services),2014,STP(UL),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-143
KGCO-28,405000,Bridge Pedestrian Priority Project,FHWA Countywide,King County Department of Transportation (Road Services),1995,STP(R),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-28
KGCO-29,1000000,East Lake Sammamish Parkway Southeast,FHWA Countywide,King County Department of Transportation (Road Services),1995,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,KGCO-29
KGCO-3,3471000,Juanita Woodinville Way Northeast,FHWA Countywide,King County Department of Transportation (Road Services),1993,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,KGCO-3
KGCO-30,1700000,Northeast 124th Street Phase II,FHWA Countywide,King County Department of Transportation (Road Services),1995,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,KGCO-30
KGCO-31,340000,"Intersection Improvement 116 Way NE/NE 132nd St, Kingsgate Park & Ride",FHWA Countywide,King County Department of Transportation (Road Services),1995,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,KGCO-31
KGCO-33,358750,Shoreline Interurban Trail,FHWA RPEC,King County Department of Transportation (Road Services),1995,CMAQ,RPEC,Bicycle/Pedestrian,KGCO-33
KGCO-65,700000,"Sahalee Way NE, NE 50th Street to SR-202 CIP 200997",FHWA Countywide,King County Department of Transportation (Road Services),1997,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,KGCO-65
KGCO-66,825000,140th Avenue Southeast at Southeast Petrovitsky Road,FHWA Countywide,King County Department of Transportation (Road Services),1997,STP(U),King Countywide Forum,Safety & Efficiency,KGCO-66
KGCO-67,673877,Woodinville Duvall Bridge 1136A,FHWA Countywide,King County Department of Transportation (Road Services),1997,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-67
KGCO-68,600000,East Lake Sammamish Trail - Master Planned Trail,FHWA RPEC,King County Department of Transportation (Road Services),1997,CMAQ,RPEC,Bicycle/Pedestrian,KGCO-68
KGCO-68,975000,East Lake Sammamish Trail - Master Planned Trail,FHWA Countywide,King County Department of Transportation (Road Services),2009,CMAQ,King Countywide Forum,Bicycle/Pedestrian,KGCO-68
KGCO-68,1100000,East Lake Sammamish Trail - Master Planned Trail,FHWA Countywide,King County Department of Transportation (Road Services),1997,CMAQ,King Countywide Forum,Bicycle/Pedestrian,KGCO-68
KGCO-72,1095439,Trans-Valley Corridor: ITS,FHWA Countywide,King County Department of Transportation (Road Services),1999,CMAQ,King Countywide Forum,Safety & Efficiency,KGCO-72
KGCO-73,131000,Trans-Valley Corridor: Subarea Study,FHWA RPEC,King County Department of Transportation (Road Services),1999,STP(U),RPEC,"Studies, TDM, Other",KGCO-73
KGCO-73,250000,Trans-Valley Corridor: Subarea Study,FHWA Countywide,King County Department of Transportation (Road Services),1999,STP(U),King Countywide Forum,"Studies, TDM, Other",KGCO-73
KGCO-74,105000,Trans-Valley Corridor: TDM,FHWA RPEC,King County Department of Transportation (Road Services),1999,STP(U),RPEC,"Studies, TDM, Other",KGCO-74
KGCO-74,150000,Trans-Valley Corridor: TDM,FHWA Countywide,King County Department of Transportation (Transit),1999,STP(U),King Countywide Forum,"Studies, TDM, Other",KGCO-74
KGCO-75,424000,Trans-Valley Corridor: Carr Rd/SR-515 (Benson Rd.) Intersection,FHWA RPEC,King County Department of Transportation (Road Services),1999,STP(U),RPEC,Safety & Efficiency,KGCO-75
KGCO-75,785000,Trans-Valley Corridor: Carr Rd/SR-515 (Benson Rd.) Intersection,FHWA Countywide,King County Department of Transportation (Road Services),1999,STP(U),King Countywide Forum,Safety & Efficiency,KGCO-75
KGCO-75,1646554,Trans-Valley Corridor: Carr Rd/SR-515 (Benson Rd.) Intersection,FHWA Countywide,King County Department of Transportation (Road Services),2002,STP(U),King Countywide Forum,Safety & Efficiency,KGCO-75
KGCO-76,500000,Woodinville-Duvall Rd (NE 171st St to Avondale Rd NE),FHWA Countywide,King County Department of Transportation (Road Services),1999,STP(U),King Countywide Forum,Safety & Efficiency,KGCO-76
KGCO-77,133501,Novelty Hill Road (King County CIP No. 100992),FHWA Countywide,King County Department of Transportation (Road Services),2005,STP(N),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,KGCO-77
KGCO-77,525975,Novelty Hill Road (King County CIP No. 100992),FHWA Countywide,King County Department of Transportation (Road Services),1999,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,KGCO-77
KGCO-78,200214,16th Avenue South Bridge (South Park),FHWA Countywide,King County Department of Transportation (Road Services),2002,STP(N),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-78
KGCO-78,500000,16th Avenue South Bridge (South Park),FHWA Countywide,King County Department of Transportation (Road Services),1999,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-78
KGCO-78,4000000,16th Avenue South Bridge (South Park),FHWA RPEC,King County Department of Transportation (Road Services),2009,STP(U),RPEC,"Preservation, Maintenance & Operations",KGCO-78
KGCO-78,5000000,16th Avenue South Bridge (South Park),FHWA RPEC,King County Department of Transportation (Road Services),2006,STP(U),RPEC,"Preservation, Maintenance & Operations",KGCO-78
KGCO-78,15000000,16th Avenue South Bridge (South Park),FHWA RPEC,King County Department of Transportation (Road Services),2010,STP(U),RPEC,"Preservation, Maintenance & Operations",KGCO-78
KGCO-80,456000,"Green River Trail, Phase II",FHWA RPEC,King County Department of Transportation (Road Services),1999,CMAQ,RPEC,Bicycle/Pedestrian,KGCO-80
KGCO-90,354915,1st Avenue South Urban Retrofit,FHWA Countywide,King County Department of Transportation (Road Services),2002,STP(U),King Countywide Forum,Safety & Efficiency,KGCO-90
KGCO-91,260634,Harris Creek Bridge #5003,FHWA Countywide,King County Department of Transportation (Road Services),2002,STP(R),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-91
KGCO-92,776885,Countywide Signal Program,FHWA Countywide,King County Department of Transportation (Road Services),2004,CMAQ,King Countywide Forum,Safety & Efficiency,KGCO-92
KGCO-93,1277317,Woodinville-Duvall Rd at 212th Ave NE,FHWA Countywide,King County Department of Transportation (Road Services),2004,STP(U),King Countywide Forum,Safety & Efficiency,KGCO-93
KGCO-94,997925,124th Ave SE @ SE 192nd St,FHWA Countywide,King County Department of Transportation (Road Services),2004,STP(U),King Countywide Forum,Safety & Efficiency,KGCO-94
KGCO-95,605000,124th Street Road Raising,FHWA Countywide,King County Department of Transportation (Road Services),2004,STP(R),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-95
KGCO-96,48453,West Valley Highway Freight Corridor,FHWA Countywide,Algona,1999,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-96
KGCO-96,118265,West Valley Highway Freight Corridor,FHWA Countywide,King County Department of Transportation (Road Services),2005,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-96
KGCO-96,614740,West Valley Highway Freight Corridor,FHWA Countywide,King County Department of Transportation (Road Services),2004,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-96
KGCO-97,417425,York River Bridge,FHWA Countywide,King County Department of Transportation (Road Services),2005,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-97
KGCO-98,750000,Tolt Bridge Replacement,FHWA Countywide,King County Department of Transportation (Road Services),2008,STP(R),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-98
KGCO-98,2121000,Tolt Bridge Replacement,FHWA Countywide,King County Department of Transportation (Road Services),2005,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",KGCO-98
KIRK-12,200000,Eastside Transportation Program Update,FHWA Countywide,King County Department of Transportation (Road Services),1995,STP(U),King Countywide Forum,"Studies, TDM, Other",KIRK-12
KIRK-13,160000,"Intersection Improvement 116th Way NE/NE 132nd Street, Kingsgate Park & Ride",FHWA Countywide,Kirkland,1995,STP(U),King Countywide Forum,Safety & Efficiency,KIRK-13
KIRK-14,403500,NE 100th Street at I-405 Bicycle/Pedestrian Overpass,FHWA Countywide,Kirkland,1997,STP(U),King Countywide Forum,Bicycle/Pedestrian,KIRK-14
KIRK-18,626119,Kirkland Capacity Intersections,FHWA Countywide,Kirkland,1999,STP(U),King Countywide Forum,Safety & Efficiency,KIRK-18
KIRK-20,524700,116th Avenue NE Non-motorized Facilities Phase 1 (NE 60th Street to NE 67th Street),FHWA Countywide,Kirkland,2002,CMAQ,King Countywide Forum,Bicycle/Pedestrian,KIRK-20
KIRK-21,56902,I-405 Totem Lake/NE 128th Street (Direct Access/Freeway Station),FHWA Countywide,Kirkland,2005,STP(N),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,KIRK-21
KIRK-21,331094,I-405 Totem Lake/NE 128th Street (Direct Access/Freeway Station),FHWA Countywide,Kirkland,2002,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,KIRK-21
KIRK-21,613640,I-405 Totem Lake/NE 128th Street (Direct Access/Freeway Station),FHWA Countywide,Kirkland,2004,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,KIRK-21
